故障项,故障模组,故障描述,处置方案,问题来源
星间与星地网络,路由系统重装异常,路由器版本切换异常,"路由器版本切换异常 sonic系统支持同时存在两个版本，如果用户在A系统里装了B系统，但是又想切换回A系统，可以执行版本切换指令实现。由于这一步没有做flash的同步，所以切换了flash的话，新的flash不知道已经切换回A系统了，还是会进B系统。因此建议不要使用版本切换命令来进行版本回退，有版本回退的需求可以通过重装系统实现。
如果必须回退版本，也可以通过上注脚本的方式同步环境变量，即在A系统中安装了B系统再切回A系统后，在A系统中运行根目录下的sonic-remove-sonic.sh脚本，再等待三分钟脚本执行完毕，即可切换flash，切换后两个flash都可以进入A系统（Opt.）",在轨运行
卫星平台,导航单元,导航单元电压遥测异常,GNSS B机开,在轨运行
卫星平台,导航单元,导航单元电流遥测异常,GNSS B机开,在轨运行
卫星平台,控制分系统,太敏异常导致太阳定向异常,遥控指令允许星敏直接对日调姿，运行全姿态捕获模式，对日调姿转入对日巡航的指令,在轨运行
卫星平台,控制分系统,控制分系统无遥测,综合判断确认星箭分离后，地面按照飞行程序发送入轨段指令；,在轨运行
卫星平台,控制分系统,某陀螺自主加断电变为不允许,遥控指令允许光纤陀螺X/Y/Z/S自主加电,在轨运行
卫星平台,控制分系统,控制模式遥测指示异常,遥控指令控制模式复位,在轨运行
卫星平台,测传应答机,01星测传应答机芯片烧毁,返厂维修更换,历史测试
卫星平台,测传应答机,01星测传应答机遥测中断,瑞峰总称应答机为双机热备，同时损坏概率不大,历史测试
卫星平台,测控分系统,卫星无下行测控信号,发射机开关机：地面发 “测控发射机关”，“测控发射机开” ,在轨运行
卫星平台,测控分系统,测控锁定异常,发送测控断电 ；30s后测控加电,在轨运行
卫星平台,热控分系统,控温电阻异常,发指令修改对应加热回路选择备份控温点,在轨运行
卫星平台,热控分系统,测温电阻异常,利用设备、组件附近的测点对其温度进行间接判断。,在轨运行
卫星平台,热控分系统,加热回路常断故障,"发送指令，主份加热回路开环关，备份加热回路闭环控温：
1.热控管理板关机
2.热控管理板开机",在轨运行
卫星平台,综合电子分系统,整星无遥测,通过地面测控盲发指令：综合电子B开A关(切备份),在轨运行
卫星平台,综合电子分系统,综合电子接收数据异常,"重新发送数据，如果是瞬时故障能够正确接收；
如果仍然工作不正常，发送综合电子B开A关",在轨运行
卫星平台,综合电子分系统,A53文件系统损坏，然后重装系统一直失败,"停止m4后，a53系统重装成功
此外，m4需要修改程序和配置，让出冲突的内存地址",历史测试
卫星平台,综合电子分系统,综电和路由scp不通,"1.A53需要修改scp用户（zhisuan)所属组（root:root)；
2.A53需要修改路由在综电存放目录的读写权限（777）；
3.A53需要配置和路由互联管理口的ip地址；",历史测试
卫星平台,综合电子分系统,激光日志下传，丢包,无处置方式,历史测试
卫星平台,综合电子分系统,遥控遥测进程崩溃,若崩溃，守护进程自动拉起,历史测试
卫星平台,综合电子分系统,间歇性无遥测返回，持续时间短,无处置方式,历史测试
卫星平台,能源分系统,太阳翼未展开,发送太阳翼展开指令,在轨运行
卫星平台,能源分系统,放电开关为断开状态,发送“放电开关接通”指令,在轨运行
卫星平台,能源分系统,分流一级发生短路,"1.发送指令“分流基准通”
2.发送指令“分流禁止”",在轨运行
